date,open,high,low,close,volume,symbol
2026-05-12 10:30:00,23750.9,23774.2,23740.0,23763.0,19240,NIFTY26JUNFUT
2026-05-12 10:45:00,23763.0,23769.7,23738.0,23759.3,10140,NIFTY26JUNFUT
2026-05-12 11:00:00,23759.3,23759.3,23725.0,23726.8,19110,NIFTY26JUNFUT
2026-05-12 11:15:00,23726.8,23756.0,23725.0,23731.0,10075,NIFTY26JUNFUT
2026-05-12 11:30:00,23731.0,23745.0,23721.0,23740.0,12805,NIFTY26JUNFUT
2026-05-12 11:45:00,23740.0,23758.4,23725.0,23730.0,20735,NIFTY26JUNFUT
2026-05-12 12:00:00,23730.0,23746.9,23690.0,23694.5,54145,NIFTY26JUNFUT
2026-05-12 12:15:00,23694.5,23722.1,23693.4,23695.0,11960,NIFTY26JUNFUT
2026-05-12 12:30:00,23695.0,23698.7,23650.0,23669.0,36660,NIFTY26JUNFUT
2026-05-12 12:45:00,23669.0,23678.0,23653.6,23660.6,26780,NIFTY26JUNFUT
2026-05-12 13:00:00,23660.6,23678.0,23652.3,23674.7,20150,NIFTY26JUNFUT
2026-05-12 13:15:00,23674.7,23700.0,23669.0,23679.4,20865,NIFTY26JUNFUT
2026-05-12 13:30:00,23679.4,23697.6,23641.8,23646.1,24505,NIFTY26JUNFUT
2026-05-12 13:45:00,23646.1,23667.0,23635.0,23636.0,21450,NIFTY26JUNFUT
2026-05-12 14:00:00,23635.0,23639.8,23588.8,23595.3,58370,NIFTY26JUNFUT
2026-05-12 14:15:00,23595.3,23630.0,23589.0,23601.7,38415,NIFTY26JUNFUT
2026-05-12 14:30:00,23601.7,23610.7,23570.0,23600.0,24050,NIFTY26JUNFUT
2026-05-12 14:45:00,23600.0,23612.4,23545.0,23554.3,47710,NIFTY26JUNFUT
2026-05-12 15:00:00,23552.4,23554.2,23500.0,23503.9,83525,NIFTY26JUNFUT
2026-05-12 15:15:00,23505.5,23581.0,23505.2,23570.0,87035,NIFTY26JUNFUT
2026-05-13 09:15:00,23528.0,23629.0,23515.0,23515.0,70070,NIFTY26JUNFUT
