tf,date,open,high,low,close,volume
5m,2026-05-13 13:45:00+05:30,222.0,232.15,212.3,228.15,795665
5m,2026-05-13 13:50:00+05:30,228.15,231.6,219.6,231.4,607360
5m,2026-05-13 13:55:00+05:30,231.4,250.6,230.85,236.8,1258335
5m,2026-05-13 14:00:00+05:30,236.8,247.2,228.9,243.25,601380
5m,2026-05-13 14:05:00+05:30,242.5,242.9,227.35,227.95,578240
5m,2026-05-13 14:10:00+05:30,227.95,231.15,221.0,222.0,572520
5m,2026-05-13 14:15:00+05:30,222.0,249.0,219.35,249.0,1005160
5m,2026-05-13 14:20:00+05:30,249.0,258.75,232.0,236.55,1134900
5m,2026-05-13 14:25:00+05:30,236.55,248.7,230.55,239.8,587080
5m,2026-05-13 14:30:00+05:30,239.85,242.0,233.4,236.0,306670
5m,2026-05-13 14:35:00+05:30,235.8,243.6,233.75,237.15,285805
5m,2026-05-13 14:40:00+05:30,237.0,255.3,237.0,253.0,702650
5m,2026-05-13 14:45:00+05:30,253.7,264.4,243.35,245.0,693615
5m,2026-05-13 14:50:00+05:30,245.0,250.7,239.6,241.8,330265
5m,2026-05-13 14:55:00+05:30,241.8,247.3,239.5,245.7,301795
5m,2026-05-13 15:00:00+05:30,245.7,274.9,244.95,269.65,1160900
5m,2026-05-13 15:05:00+05:30,269.65,280.0,253.25,257.0,526370
5m,2026-05-13 15:10:00+05:30,257.0,267.95,253.0,256.6,281775
5m,2026-05-13 15:15:00+05:30,256.6,266.8,255.5,265.45,273910
5m,2026-05-13 15:20:00+05:30,265.4,273.0,263.3,268.3,313560
5m,2026-05-13 15:25:00+05:30,269.5,269.5,249.8,253.6,333125
15m,2026-05-04 09:30:00+05:30,115.8,119.0,102.15,102.15,1495
15m,2026-05-04 09:45:00+05:30,102.15,111.2,102.15,111.2,260
15m,2026-05-04 10:00:00+05:30,111.2,120.45,111.2,120.45,325
15m,2026-05-04 10:15:00+05:30,120.45,128.15,120.0,124.95,1040
15m,2026-05-04 10:30:00+05:30,124.95,124.95,108.35,119.5,130
15m,2026-05-04 10:45:00+05:30,119.5,119.5,119.5,119.5,0
15m,2026-05-04 11:00:00+05:30,119.5,119.5,119.5,119.5,0
15m,2026-05-04 11:15:00+05:30,119.5,119.5,105.3,105.3,7150
15m,2026-05-04 11:30:00+05:30,105.3,107.2,105.15,106.55,975
15m,2026-05-04 11:45:00+05:30,106.55,108.7,103.2,107.2,1170
15m,2026-05-04 12:00:00+05:30,107.2,124.6,107.2,124.15,780
15m,2026-05-04 12:15:00+05:30,124.15,134.8,124.15,130.55,520
15m,2026-05-04 12:30:00+05:30,130.55,136.8,130.55,132.55,325
15m,2026-05-04 12:45:00+05:30,132.55,142.45,132.55,138.25,195
15m,2026-05-04 13:00:00+05:30,138.25,138.25,134.25,136.65,455
15m,2026-05-04 13:15:00+05:30,136.65,163.0,136.65,161.9,1040
15m,2026-05-04 13:30:00+05:30,161.9,168.6,143.95,143.95,1300
15m,2026-05-04 13:45:00+05:30,143.95,146.9,138.8,146.15,325
15m,2026-05-04 14:00:00+05:30,146.15,146.95,146.15,146.95,65
15m,2026-05-04 14:15:00+05:30,146.95,146.95,131.0,131.0,260
15m,2026-05-04 14:30:00+05:30,131.0,139.85,131.0,138.1,1235
15m,2026-05-04 14:45:00+05:30,138.1,145.1,138.0,138.45,2015
15m,2026-05-04 15:00:00+05:30,138.45,142.95,135.0,136.55,260
15m,2026-05-04 15:15:00+05:30,136.55,136.55,129.1,132.3,130
15m,2026-05-05 09:15:00+05:30,158.55,169.0,150.65,165.5,975
15m,2026-05-05 09:30:00+05:30,165.5,165.5,152.75,155.4,260
15m,2026-05-05 09:45:00+05:30,155.4,155.4,141.7,144.4,910
15m,2026-05-05 10:00:00+05:30,144.4,163.45,144.4,161.8,455
15m,2026-05-05 10:15:00+05:30,161.8,164.25,156.55,164.25,7865
15m,2026-05-05 10:30:00+05:30,164.25,175.5,164.25,172.0,650
15m,2026-05-05 10:45:00+05:30,172.0,178.55,172.0,175.75,195
15m,2026-05-05 11:00:00+05:30,175.75,175.75,171.55,171.55,260
15m,2026-05-05 11:15:00+05:30,171.55,172.05,162.05,170.15,195
15m,2026-05-05 11:30:00+05:30,170.15,173.55,166.25,173.55,130
15m,2026-05-05 11:45:00+05:30,173.55,187.3,173.55,187.3,1690
15m,2026-05-05 12:00:00+05:30,187.3,187.3,162.7,162.7,975
15m,2026-05-05 12:15:00+05:30,162.7,165.0,152.4,159.1,1885
15m,2026-05-05 12:30:00+05:30,159.1,163.05,153.45,153.45,390
15m,2026-05-05 12:45:00+05:30,153.45,153.45,141.0,141.0,585
15m,2026-05-05 13:00:00+05:30,141.0,141.45,120.0,126.6,1365
15m,2026-05-05 13:15:00+05:30,126.6,131.15,123.35,131.15,520
15m,2026-05-05 13:30:00+05:30,131.15,132.5,127.65,129.55,780
15m,2026-05-05 13:45:00+05:30,129.55,130.55,129.55,130.55,585
15m,2026-05-05 14:00:00+05:30,130.55,136.35,130.55,136.35,195
15m,2026-05-05 14:15:00+05:30,136.35,136.35,127.0,127.0,520
15m,2026-05-05 14:30:00+05:30,127.0,129.95,126.25,127.5,1300
15m,2026-05-05 14:45:00+05:30,127.5,133.8,127.5,130.8,975
15m,2026-05-05 15:00:00+05:30,130.8,132.0,124.9,124.9,585
