tf,date,open,high,low,close,volume
5m,2026-05-14 14:15:00+05:30,426.15,437.65,407.05,408.0,119795
5m,2026-05-14 14:20:00+05:30,408.0,430.55,405.95,427.05,78390
5m,2026-05-14 14:25:00+05:30,427.05,443.95,425.95,439.9,51740
5m,2026-05-14 14:30:00+05:30,439.9,455.0,435.05,435.05,130780
5m,2026-05-14 14:35:00+05:30,437.65,438.9,412.0,417.65,89570
5m,2026-05-14 14:40:00+05:30,417.65,420.0,400.0,402.0,101660
5m,2026-05-14 14:45:00+05:30,403.45,403.45,373.5,378.0,195975
5m,2026-05-14 14:50:00+05:30,378.0,393.25,375.6,377.3,122915
5m,2026-05-14 14:55:00+05:30,377.3,391.75,366.05,384.25,266760
5m,2026-05-14 15:00:00+05:30,383.6,386.1,370.0,376.05,135265
5m,2026-05-14 15:05:00+05:30,376.2,377.2,349.65,358.85,204360
5m,2026-05-14 15:10:00+05:30,358.85,369.55,354.25,362.55,160615
5m,2026-05-14 15:15:00+05:30,362.0,375.2,357.95,363.75,137280
5m,2026-05-14 15:20:00+05:30,363.75,375.95,361.0,375.75,96200
5m,2026-05-14 15:25:00+05:30,375.75,399.25,370.9,395.9,163475
5m,2026-05-15 09:15:00+05:30,423.15,436.85,359.3,395.05,247845
5m,2026-05-15 09:20:00+05:30,395.05,434.4,385.0,430.3,126165
5m,2026-05-15 09:25:00+05:30,430.3,448.7,413.3,442.1,175175
5m,2026-05-15 09:30:00+05:30,442.1,445.8,413.25,415.1,112385
5m,2026-05-15 09:35:00+05:30,415.1,434.0,401.7,428.75,120900
5m,2026-05-15 09:40:00+05:30,428.75,465.1,428.5,462.7,117000
5m,2026-05-15 09:45:00+05:30,462.7,474.5,447.25,451.1,135850
5m,2026-05-15 09:50:00+05:30,451.1,477.9,443.85,476.3,98280
5m,2026-05-15 09:55:00+05:30,476.3,492.85,466.6,467.2,99515
5m,2026-05-15 10:00:00+05:30,467.2,471.45,438.15,464.05,167050
5m,2026-05-15 10:05:00+05:30,465.25,468.6,435.25,438.1,66365
5m,2026-05-15 10:10:00+05:30,438.1,454.35,434.1,450.9,48100
5m,2026-05-15 10:15:00+05:30,450.9,458.0,437.1,442.0,56940
5m,2026-05-15 10:20:00+05:30,442.0,465.0,432.7,465.0,52910
5m,2026-05-15 10:25:00+05:30,465.0,471.55,457.4,467.6,40885
5m,2026-05-15 10:30:00+05:30,467.6,467.6,447.05,459.8,24050
5m,2026-05-15 10:35:00+05:30,459.8,464.35,442.75,449.0,26260
5m,2026-05-15 10:40:00+05:30,449.0,466.2,443.8,459.0,47580
5m,2026-05-15 10:45:00+05:30,459.0,479.95,455.6,471.1,50570
5m,2026-05-15 10:50:00+05:30,471.1,482.95,460.5,475.95,65390
5m,2026-05-15 10:55:00+05:30,475.95,478.15,465.45,472.75,14300
5m,2026-05-15 11:00:00+05:30,472.75,472.75,429.45,430.0,55965
5m,2026-05-15 11:05:00+05:30,430.0,435.7,392.15,393.5,180245
5m,2026-05-15 11:10:00+05:30,393.5,405.85,384.65,393.1,158730
5m,2026-05-15 11:15:00+05:30,393.1,396.25,361.25,386.9,198900
5m,2026-05-15 11:20:00+05:30,386.9,390.95,372.7,376.25,59735
5m,2026-05-15 11:25:00+05:30,375.5,380.3,359.1,360.0,54730
5m,2026-05-15 11:30:00+05:30,360.0,375.45,332.6,371.0,148525
5m,2026-05-15 11:35:00+05:30,371.0,384.0,360.75,382.0,103025
5m,2026-05-15 11:40:00+05:30,382.0,383.15,368.7,381.2,56745
5m,2026-05-15 11:45:00+05:30,381.2,387.95,374.1,379.5,51480
5m,2026-05-15 11:50:00+05:30,379.5,385.9,367.3,371.05,46995
5m,2026-05-15 11:55:00+05:30,371.05,378.35,365.2,373.75,24310
5m,2026-05-15 12:00:00+05:30,373.75,403.5,369.05,402.0,80080
5m,2026-05-15 12:05:00+05:30,402.0,419.2,396.85,402.4,106730
5m,2026-05-15 12:10:00+05:30,402.4,413.0,395.25,397.2,134420
5m,2026-05-15 12:15:00+05:30,397.2,403.75,382.2,391.75,55380
5m,2026-05-15 12:20:00+05:30,391.75,392.3,367.6,373.05,127010
5m,2026-05-15 12:25:00+05:30,373.05,388.0,365.3,367.25,32825
5m,2026-05-15 12:30:00+05:30,368.0,386.0,366.75,386.0,25935
5m,2026-05-15 12:35:00+05:30,386.0,395.0,380.0,386.55,30550
5m,2026-05-15 12:40:00+05:30,386.55,414.4,386.55,413.5,55445
5m,2026-05-15 12:45:00+05:30,413.5,430.0,409.55,421.45,78260
5m,2026-05-15 12:50:00+05:30,421.45,435.35,418.65,426.85,60710
5m,2026-05-15 12:55:00+05:30,426.85,435.0,418.05,430.0,19760
5m,2026-05-15 13:00:00+05:30,430.0,433.4,417.0,421.2,32500
5m,2026-05-15 13:05:00+05:30,421.2,427.75,409.05,419.55,32110
5m,2026-05-15 13:10:00+05:30,419.55,431.35,413.9,428.1,19825
5m,2026-05-15 13:15:00+05:30,428.1,432.0,414.2,430.1,33475
