tf,date,open,high,low,close,volume,vwap
5m,2026-06-03 13:20:00+05:30,437.55,465.55,436.8,459.35,98410,381.9603828517818
5m,2026-06-03 13:25:00+05:30,459.35,471.05,452.8,462.45,96785,382.8508097533555
5m,2026-06-03 13:30:00+05:30,464.35,466.5,438.1,458.0,68120,383.40444481465033
5m,2026-06-03 13:35:00+05:30,458.0,466.65,446.05,451.3,63245,383.91416041205696
5m,2026-06-03 13:40:00+05:30,451.3,472.8,441.25,448.95,101075,384.7100278851839
5m,2026-06-03 13:45:00+05:30,448.95,564.1,448.95,518.2,330135,389.1852325111391
5m,2026-06-03 13:50:00+05:30,518.2,525.7,495.15,510.35,82160,390.24973887950944
5m,2026-06-03 13:55:00+05:30,510.5,510.5,484.0,501.9,67535,391.0277186084478
5m,2026-06-03 14:00:00+05:30,501.9,534.3,498.0,532.2,84565,392.18819770608445
5m,2026-06-03 14:05:00+05:30,532.2,540.65,512.95,526.6,90675,393.45924496273125
5m,2026-06-03 14:10:00+05:30,526.6,536.45,521.05,534.9,54275,394.2314924927554
5m,2026-06-03 14:15:00+05:30,534.9,564.4,530.0,556.95,72410,395.3946607403447
5m,2026-06-03 14:20:00+05:30,556.95,590.25,550.0,586.0,95940,397.1532862094147
5m,2026-06-03 14:25:00+05:30,586.0,586.0,559.8,562.25,93210,398.772234497077
5m,2026-06-03 14:30:00+05:30,565.95,594.0,561.85,585.15,56290,399.7972745032847
5m,2026-06-03 14:35:00+05:30,585.15,590.65,560.35,585.6,45305,400.6072750636001
5m,2026-06-03 14:40:00+05:30,585.6,602.0,581.95,594.8,71240,401.9654762518474
5m,2026-06-03 14:45:00+05:30,594.8,596.85,575.6,587.35,39910,402.6931210071162
5m,2026-06-03 14:50:00+05:30,587.35,607.2,577.1,593.0,43550,403.5055934759824
5m,2026-06-03 14:55:00+05:30,593.0,596.55,574.2,589.95,31720,404.07579449017567
5m,2026-06-03 15:00:00+05:30,589.95,606.7,545.55,573.55,151190,406.5757001209596
5m,2026-06-03 15:05:00+05:30,573.55,591.9,527.0,531.55,112320,408.1165757820426
5m,2026-06-03 15:10:00+05:30,531.55,540.0,510.2,537.05,140465,409.7186322937288
5m,2026-06-03 15:15:00+05:30,537.05,542.0,522.1,525.75,52065,410.30596016393054
5m,2026-06-03 15:20:00+05:30,527.25,542.1,518.45,520.0,68835,411.05382049433143
5m,2026-06-03 15:25:00+05:30,520.0,529.9,509.15,512.05,45825,411.50463116039975
5m,2026-06-04 09:15:00+05:30,435.0,458.25,359.05,443.85,330785,420.3833333333334
